dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time,pipeline_digest,paradigm_digest,evaluation,moecog_version,computed_at,train_fraction
BCICompIII-1,1,train,HighGamma + LDA,kappa,0.5629139072847682,0,chronological,223,55,64,4.298383951187134,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,HighGamma + LDA,accuracy,0.7818181818181819,0,chronological,223,55,64,4.298383951187134,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,HighGamma + LDA,balanced_accuracy,0.7833333333333334,0,chronological,223,55,64,4.298383951187134,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LDA,kappa,0.638157894736842,0,chronological,223,55,64,1.6730961799621582,ad4c2abc31c8,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LDA,accuracy,0.8181818181818182,0,chronological,223,55,64,1.6730961799621582,ad4c2abc31c8,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LDA,balanced_accuracy,0.8233333333333334,0,chronological,223,55,64,1.6730961799621582,ad4c2abc31c8,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LogReg,kappa,0.6006600660066006,0,chronological,223,55,64,1.7566468715667725,688f919f3ab0,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LogReg,accuracy,0.8,0,chronological,223,55,64,1.7566468715667725,688f919f3ab0,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LogReg,balanced_accuracy,0.8033333333333333,0,chronological,223,55,64,1.7566468715667725,688f919f3ab0,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,Riemann TS + LogReg,kappa,0.7441860465116279,0,chronological,223,55,64,1.856170892715454,b4736e60e22e,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,Riemann TS + LogReg,accuracy,0.8727272727272727,0,chronological,223,55,64,1.856170892715454,b4736e60e22e,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,Riemann TS + LogReg,balanced_accuracy,0.8733333333333333,0,chronological,223,55,64,1.856170892715454,b4736e60e22e,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,HighGamma + LDA,kappa,0.3595933926302413,1,chronological,222,56,64,1.688737154006958,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,HighGamma + LDA,accuracy,0.6785714285714286,1,chronological,222,56,64,1.688737154006958,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,HighGamma + LDA,balanced_accuracy,0.6807151979565773,1,chronological,222,56,64,1.688737154006958,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LDA,kappa,0.5719745222929936,1,chronological,222,56,64,1.8113720417022705,ad4c2abc31c8,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LDA,accuracy,0.7857142857142857,1,chronological,222,56,64,1.8113720417022705,ad4c2abc31c8,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LDA,balanced_accuracy,0.7867177522349935,1,chronological,222,56,64,1.8113720417022705,ad4c2abc31c8,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LogReg,kappa,0.6785714285714286,1,chronological,222,56,64,1.7907040119171145,688f919f3ab0,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LogReg,accuracy,0.8392857142857143,1,chronological,222,56,64,1.7907040119171145,688f919f3ab0,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LogReg,balanced_accuracy,0.8397190293742018,1,chronological,222,56,64,1.7907040119171145,688f919f3ab0,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,Riemann TS + LogReg,kappa,0.7854406130268199,1,chronological,222,56,64,2.5030410289764404,b4736e60e22e,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,Riemann TS + LogReg,accuracy,0.8928571428571429,1,chronological,222,56,64,2.5030410289764404,b4736e60e22e,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,Riemann TS + LogReg,balanced_accuracy,0.89272030651341,1,chronological,222,56,64,2.5030410289764404,b4736e60e22e,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,HighGamma + LDA,kappa,0.4021739130434782,2,chronological,223,55,64,4.219435691833496,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,HighGamma + LDA,accuracy,0.7090909090909091,2,chronological,223,55,64,4.219435691833496,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,HighGamma + LDA,balanced_accuracy,0.7010869565217391,2,chronological,223,55,64,4.219435691833496,f0ad027786a9,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LDA,kappa,0.8523489932885906,2,chronological,223,55,64,4.627064943313599,ad4c2abc31c8,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
BCICompIII-1,1,train,LogBandPower + LDA,accuracy,0.9272727272727272,2,chronological,223,55,64,4.627064943313599,ad4c2abc31c8,53c35aeb54c0,within_subject,0.3.0.dev0,2026-09-10T20:27:08,
